Time,Personen (wifi),Out
2021-01-11 11:30:00,15,20
2021-01-11 11:45:00,14,16
2021-01-11 12:00:00,12,18
2021-01-11 12:15:00,13,16
2021-01-11 12:30:00,13,14
2021-01-11 12:45:00,12,16
2021-01-11 13:00:00,13,14
2021-01-11 13:15:00,12,14
2021-01-11 13:30:00,14,14
2021-01-11 13:45:00,15,16
2021-01-11 14:00:00,10,12
2021-01-11 14:15:00,13,14
2021-01-11 14:30:00,8,17
2021-01-11 14:45:00,8.7,13
2021-01-11 15:00:00,10,15
2021-01-11 15:15:00,8.7,13
2021-01-11 15:30:00,9.3,15
2021-01-11 15:45:00,9,18
2021-01-11 16:00:00,9.7,16
2021-01-11 16:15:00,9,15
2021-01-11 16:30:00,9.3,17
2021-01-11 16:45:00,10,14
2021-01-11 17:00:00,13,15
2021-01-11 17:15:00,9.7,13
2021-01-11 17:30:00,9.3,13
2021-01-11 17:45:00,13,11
2021-01-11 18:00:00,10,11
2021-01-11 18:15:00,9.3,11
2021-01-11 18:30:00,9.3,13
2021-01-11 18:45:00,9.3,13
2021-01-11 19:00:00,9,13
2021-01-11 19:15:00,9.3,12
2021-01-11 19:30:00,9,11
2021-01-11 19:45:00,11,14
2021-01-11 20:00:00,13,14
2021-01-11 20:15:00,9.7,14
2021-01-11 20:30:00,10,15
2021-01-11 20:45:00,9.7,11
2021-01-11 21:00:00,10,10
2021-01-11 21:15:00,8.3,9.3
2021-01-11 21:30:00,9.3,9.3
2021-01-11 21:45:00,7,9.7
2021-01-11 22:00:00,9,9.3
2021-01-11 22:15:00,8,9.3
2021-01-11 22:30:00,8.3,9
2021-01-11 22:45:00,6.7,8.3
2021-01-11 23:00:00,6,6
2021-01-11 23:15:00,6.3,8.3
2021-01-11 23:30:00,7,10
2021-01-11 23:45:00,6.3,8.3
2021-01-12 00:00:00,8.7,8.7
2021-01-12 00:15:00,6.3,8
2021-01-12 00:30:00,6.3,7.3
2021-01-12 00:45:00,5.7,7
2021-01-12 01:00:00,6.7,7.3
2021-01-12 01:15:00,4.3,7.3
2021-01-12 01:30:00,5.7,7.7
2021-01-12 01:45:00,5,8.3
2021-01-12 02:00:00,5.7,7.3
2021-01-12 02:15:00,5.7,7.7
2021-01-12 02:30:00,5,7
2021-01-12 02:45:00,4.3,8.7
2021-01-12 03:00:00,3.7,7.3
2021-01-12 03:15:00,5.3,3.7
2021-01-12 03:30:00,5.3,4.3
2021-01-12 03:45:00,3.3,5.7
2021-01-12 04:00:00,4.3,5.7
2021-01-12 04:15:00,4.3,7.3
2021-01-12 04:30:00,5.7,4.7
2021-01-12 04:45:00,3.3,4
2021-01-12 05:00:00,3.7,5
2021-01-12 05:15:00,4.3,4.7
2021-01-12 05:30:00,4.3,3.3
2021-01-12 05:45:00,5.7,4.3
2021-01-12 06:00:00,7,5.3
2021-01-12 06:15:00,5.3,3.7
2021-01-12 06:30:00,7,4
2021-01-12 06:45:00,3.7,3.7
2021-01-12 07:00:00,6.3,4.7
2021-01-12 07:15:00,5.3,4.7
2021-01-12 07:30:00,7.3,5.7
2021-01-12 07:45:00,7.7,4.7
2021-01-12 08:00:00,14,5
2021-01-12 08:15:00,12,5.7
2021-01-12 08:30:00,12,9.3
2021-01-12 08:45:00,13,10
2021-01-12 09:00:00,15,8.3
2021-01-12 09:15:00,13,12
2021-01-12 09:30:00,14,9.7
2021-01-12 09:45:00,17,8.7
2021-01-12 10:00:00,16,11
2021-01-12 10:15:00,17,12
2021-01-12 10:30:00,16,13
2021-01-12 10:45:00,21,11
2021-01-12 11:00:00,20,12
2021-01-12 11:15:00,17,11
2021-01-12 11:30:00,17,12
2021-01-12 11:45:00,17,13
2021-01-12 12:00:00,17,15
2021-01-12 12:15:00,18,12
2021-01-12 12:30:00,17,12
2021-01-12 12:45:00,18,10
2021-01-12 13:00:00,20,11
2021-01-12 13:15:00,18,9.7
2021-01-12 13:30:00,17,13
2021-01-12 13:45:00,14,13
2021-01-12 14:00:00,17,10
2021-01-12 14:15:00,18,9.7
2021-01-12 14:30:00,15,11
2021-01-12 14:45:00,16,13
2021-01-12 15:00:00,15,11
2021-01-12 15:15:00,13,13
2021-01-12 15:30:00,18,11
2021-01-12 15:45:00,16,12
2021-01-12 16:00:00,20,12
2021-01-12 16:15:00,17,15
2021-01-12 16:30:00,17,15
2021-01-12 16:45:00,13,11
2021-01-12 17:00:00,12,9.3
2021-01-12 17:15:00,16,8.7
2021-01-12 17:30:00,12,9.3
2021-01-12 17:45:00,11,11
2021-01-12 18:00:00,7.7,10
2021-01-12 18:15:00,10,13
2021-01-12 18:30:00,7.7,13
2021-01-12 18:45:00,10,12
2021-01-12 19:00:00,9.7,10
2021-01-12 19:15:00,11,11
2021-01-12 19:30:00,10,8.7
2021-01-12 19:45:00,10,10
2021-01-12 20:00:00,11,11
2021-01-12 20:15:00,10,8.7
2021-01-12 20:30:00,8.7,8.7
2021-01-12 20:45:00,9,7.7
2021-01-12 21:00:00,8.3,9
2021-01-12 21:15:00,7.3,10
2021-01-12 21:30:00,9,10
2021-01-12 21:45:00,6.7,11
2021-01-12 22:00:00,7.3,11
2021-01-12 22:15:00,8,9
2021-01-12 22:30:00,8,9
2021-01-12 22:45:00,6.3,10
2021-01-12 23:00:00,7.7,9
2021-01-12 23:15:00,5.7,8.3
2021-01-12 23:30:00,8.3,9.3
2021-01-12 23:45:00,4.7,7
2021-01-13 00:00:00,5.7,7
2021-01-13 00:15:00,3.7,6.7
2021-01-13 00:30:00,5.3,7.3
2021-01-13 00:45:00,5,5.7
2021-01-13 01:00:00,3.7,6.7
2021-01-13 01:15:00,3.3,6.3
